# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.504751995024e-02       1.716627882131e+04 
       3.520823161098e-02       1.709276898696e+04 
       3.536973305300e-02       1.701923754193e+04 
       3.553204774336e-02       1.694579108945e+04 
       3.569520003951e-02       1.687240914733e+04 
       3.585921523305e-02       1.679897331391e+04 
       3.602411959615e-02       1.672566388384e+04 
       3.618994043092e-02       1.665233438740e+04 
       3.635670612186e-02       1.657907716496e+04 
       3.652444619170e-02       1.650579694551e+04 
       3.669319136086e-02       1.643255870553e+04 
       3.686297361081e-02       1.635941843340e+04 
       3.703382625166e-02       1.628630465242e+04 
       3.720578399432e-02       1.621322444647e+04 
       3.737888302752e-02       1.614016688586e+04 
       3.755316110028e-02       1.606717051534e+04 
       3.772865761010e-02       1.599416436694e+04 
       3.790541369740e-02       1.592122801871e+04 
       3.808347234680e-02       1.584831343008e+04 
       3.826287849589e-02       1.577545942455e+04 
       3.844367915191e-02       1.570258107403e+04 
       3.862592351732e-02       1.562982786401e+04 
       3.880966312497e-02       1.555701903130e+04 
       3.899495198365e-02       1.548428265512e+04 
       3.918184673519e-02       1.541153353380e+04 
       3.937040682406e-02       1.533883819063e+04 
       3.956069468067e-02       1.526612637076e+04 
       3.975277591988e-02       1.519345175241e+04 
       3.994671955603e-02       1.512078824308e+04 
       4.014259823622e-02       1.504810218185e+04 
       4.034048849389e-02       1.497547318905e+04 
       4.054047102446e-02       1.490278209788e+04 
       4.074263098580e-02       1.483010842989e+04 
       4.094705832581e-02       1.475740199052e+04 
       4.115384814039e-02       1.468467944587e+04 
       4.136310106500e-02       1.461196551112e+04 
       4.157492370375e-02       1.453913699051e+04 
       4.178942910027e-02       1.446635320088e+04 
       4.200673725534e-02       1.439349459467e+04 
       4.222697569687e-02       1.432055242787e+04 
       4.245028010861e-02       1.424755089549e+04 
       4.267679502492e-02       1.417445402938e+04 
       4.290667460003e-02       1.410129372597e+04 
       4.314008346130e-02       1.402804939890e+04 
       4.337719765775e-02       1.395462661540e+04 
       4.361820571654e-02       1.388111628397e+04 
       4.386330982236e-02       1.380747791916e+04 
       4.411272713690e-02       1.373368289525e+04 
       4.436669127854e-02       1.365968434465e+04 
       4.462545398581e-02       1.358550635810e+04 
       4.488928699194e-02       1.351112643637e+04 
       4.515848414315e-02       1.343657166079e+04 
       4.543336379861e-02       1.336170287762e+04 
       4.571427155733e-02       1.328658728716e+04 
       4.600158336582e-02       1.321117861590e+04 
       4.629570907023e-02       1.313542170701e+04 
       4.659709648983e-02       1.305929655493e+04 
       4.690623610374e-02       1.298285028370e+04 
       4.722366646187e-02       1.290594915863e+04 
       4.754998045456e-02       1.282860096720e+04 
       4.788583260440e-02       1.275076145702e+04 
       4.823194757985e-02       1.267236394862e+04 
       4.858913017567e-02       1.259334460825e+04 
       4.895827706185e-02       1.251366679245e+04 
       4.934039067441e-02       1.243332230196e+04 
       4.973659571221e-02       1.235211883626e+04 
       5.014815881851e-02       1.227011990295e+04 
       5.057651217286e-02       1.218710753913e+04 
       5.102328190483e-02       1.210306260835e+04 
       5.149032247919e-02       1.201783854453e+04 
       5.197975850444e-02       1.193117139813e+04 
       5.249403579957e-02       1.184316109379e+04 
       5.303598403422e-02       1.175340595197e+04 
       5.360889384986e-02       1.166174453536e+04 
       5.421661207615e-02       1.156790737447e+04 
       5.486365945544e-02       1.147152989341e+04 
       5.555537608648e-02       1.137217101869e+04 
       5.629810037075e-02       1.126937956344e+04 
       5.709938708358e-02       1.116243787920e+04 
       5.796826824764e-02       1.105045555709e+04 
       5.891555469897e-02       1.093231638081e+04 
       5.995416277487e-02       1.080661339905e+04 
       6.109942281275e-02       1.067124953132e+04 
       6.236927410158e-02       1.052361520075e+04 
       6.378416324760e-02       1.036017367460e+04 
       6.536633835660e-02       1.017625896231e+04 
       6.713811137474e-02       9.966051877545e+03 
       6.911868846914e-02       9.722693597373e+03 
       7.131961840387e-02       9.439188604302e+03 
       7.373998962901e-02       9.110077308794e+03 
       7.636375449820e-02       8.733822143279e+03 
       7.916148889807e-02       8.314863293218e+03 
       8.209649526012e-02       7.864235896308e+03 
       8.513222551234e-02       7.398033156982e+03 
       8.823761411256e-02       6.934613815048e+03 
       9.138909140136e-02       6.491471039070e+03 
       9.457013477028e-02       6.082982345869e+03 
       9.776975996147e-02       5.719078052957e+03 
       1.009809117750e-01       5.404888986845e+03 
       1.041991564299e-01       5.140994074407e+03 
       1.074217451225e-01       4.924194853874e+03 
       1.106469878101e-01       4.748341207935e+03 
       1.138738506104e-01       4.605245972308e+03 
       1.171017029028e-01       4.485581638805e+03 
       1.203301606530e-01       4.379789688962e+03 
       1.235589901540e-01       4.278855317478e+03 
       1.267880491804e-01       4.175124177672e+03 
       1.300172511241e-01       4.062900740537e+03 
       1.332465431747e-01       3.938867039810e+03 
       1.364758930585e-01       3.802169999113e+03 
       1.397052809844e-01       3.654225394501e+03 
       1.429346947528e-01       3.498249290603e+03 
       1.461641267862e-01       3.338633334182e+03 
       1.493935723256e-01       3.180247769006e+03 
       1.526230283349e-01       3.027815055688e+03 
       1.558524928351e-01       2.885405749626e+03 
       1.590819644993e-01       2.756064372287e+03 
