# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.629810037075e-02       1.097145905636e+04 
       5.709938708358e-02       1.086829738608e+04 
       5.796826824764e-02       1.076040759000e+04 
       5.891555469897e-02       1.064674529148e+04 
       5.995416277487e-02       1.052599716585e+04 
       6.109942281275e-02       1.039620054207e+04 
       6.236927410158e-02       1.025491576671e+04 
       6.378416324760e-02       1.009883398243e+04 
       6.536633835660e-02       9.923591371937e+03 
       6.713811137474e-02       9.723743895091e+03 
       6.911868846914e-02       9.492873497747e+03 
       7.131961840387e-02       9.224443011697e+03 
       7.373998962901e-02       8.913366091811e+03 
       7.636375449820e-02       8.558266893094e+03 
       7.916148889807e-02       8.163419966566e+03 
       8.209649526012e-02       7.739337982882e+03 
       8.513222551234e-02       7.301312701752e+03 
       8.823761411256e-02       6.866752847601e+03 
       9.138909140136e-02       6.452198012388e+03 
       9.457013477028e-02       6.071176390577e+03 
       9.776975996147e-02       5.732949251857e+03 
       1.009809117750e-01       5.442201475277e+03 
       1.041991564299e-01       5.199309536618e+03 
       1.074217451225e-01       5.001104703785e+03 
       1.106469878101e-01       4.841670819683e+03 
       1.138738506104e-01       4.713209522187e+03 
       1.171017029028e-01       4.606874222373e+03 
       1.203301606530e-01       4.513608694223e+03 
       1.235589901540e-01       4.424859696342e+03 
       1.267880491804e-01       4.333340153095e+03 
       1.300172511241e-01       4.233600589325e+03 
       1.332465431747e-01       4.122442750950e+03 
       1.364758930585e-01       3.999022254454e+03 
       1.397052809844e-01       3.864675986683e+03 
       1.429346947528e-01       3.722478209379e+03 
       1.461641267862e-01       3.576636055343e+03 
       1.493935723256e-01       3.431809758993e+03 
       1.526230283349e-01       3.292501773775e+03 
       1.558524928351e-01       3.162570307807e+03 
       1.590819644993e-01       3.044876936022e+03 
       1.623114424059e-01       2.941132299074e+03 
       1.655409258877e-01       2.851875801486e+03 
       1.687704144403e-01       2.776572324241e+03 
       1.719999076648e-01       2.713785827530e+03 
       1.752294052335e-01       2.661397621621e+03 
       1.784589068674e-01       2.616846531785e+03 
       1.816884123231e-01       2.577385717558e+03 
       1.849179213835e-01       2.540625237670e+03 
       1.881474338521e-01       2.504099985575e+03 
       1.913769495494e-01       2.465474550485e+03 
       1.946064683099e-01       2.423346209567e+03 
       1.978359899803e-01       2.377030690765e+03 
       2.010655144181e-01       2.326582542341e+03 
       2.042950414902e-01       2.272705562216e+03 
       2.075245710722e-01       2.216588524619e+03 
       2.107541030476e-01       2.159650503361e+03 
       2.139836373069e-01       2.103368226653e+03 
       2.172131737476e-01       2.049094120896e+03 
       2.204427122729e-01       1.997922015866e+03 
       2.236722527919e-01       1.950657031281e+03 
       2.269017952188e-01       1.907778427175e+03 
       2.301313394728e-01       1.869453832558e+03 
       2.333608854774e-01       1.835557773568e+03 
       2.365904331604e-01       1.805692649993e+03 
       2.398199824537e-01       1.779243608374e+03 
       2.430495332925e-01       1.755432625797e+03 
       2.462790856157e-01       1.733403474602e+03 
       2.495086393653e-01       1.712310237994e+03 
       2.527381944863e-01       1.691398096252e+03 
       2.559677509263e-01       1.670062277613e+03 
       2.591973086359e-01       1.647891441703e+03 
       2.624268675678e-01       1.624671374432e+03 
       2.656564276772e-01       1.600374361068e+03 
       2.688859889214e-01       1.575154579997e+03 
       2.721155512598e-01       1.549278394774e+03 
       2.753451146536e-01       1.523138613706e+03 
       2.785746790660e-01       1.497171557262e+03 
       2.818042444616e-01       1.471815195637e+03 
       2.850338108070e-01       1.447465975711e+03 
       2.882633780700e-01       1.424430136096e+03 
       2.914929462199e-01       1.402899892458e+03 
       2.947225152274e-01       1.382950041296e+03 
       2.979520850645e-01       1.364535398122e+03 
       3.011816557044e-01       1.347527932306e+03 
       3.044112271213e-01       1.331730353800e+03 
       3.076407992907e-01       1.316912199149e+03 
       3.108703721890e-01       1.302826318602e+03 
       3.140999457936e-01       1.289222646086e+03 
       3.173295200828e-01       1.275871099897e+03 
       3.205590950359e-01       1.262573188961e+03 
       3.237886706328e-01       1.249178555466e+03 
       3.270182468543e-01       1.235596207688e+03 
       3.302478236822e-01       1.221800139792e+03 
       3.334774010987e-01       1.207823098045e+03 
       3.367069790867e-01       1.193749148920e+03 
       3.399365576299e-01       1.179686820624e+03 
       3.431661367125e-01       1.165756400655e+03 
       3.463957163195e-01       1.152078362230e+03 
       3.496252964361e-01       1.138757817819e+03 
       3.528548770484e-01       1.125880765803e+03 
       3.560844581427e-01       1.113512830835e+03 
       3.593140397061e-01       1.101691980505e+03 
       3.625436217260e-01       1.090427566726e+03 
       3.657732041901e-01       1.079699279962e+03 
       3.690027870868e-01       1.069458226437e+03 
       3.722323704047e-01       1.059632222856e+03 
       3.754619541331e-01       1.050141505382e+03 
       3.786915382612e-01       1.040901617963e+03 
       3.819211227790e-01       1.031837946550e+03 
       3.851507076765e-01       1.022891845374e+03 
       3.883802929443e-01       1.014020972378e+03 
       3.916098785732e-01       1.005197244579e+03 
       3.948394645543e-01       9.964079175694e+02 
       3.980690508789e-01       9.876522115051e+02 
       4.012986375388e-01       9.789381758161e+02 
       4.045282245258e-01       9.702873158726e+02 
       4.077578118322e-01       9.617278356609e+02 
       4.109873994505e-01       9.532938836784e+02 
       4.142169873732e-01       9.450168754097e+02 
       4.174465755933e-01       9.369240232250e+02 
       4.206761641040e-01       9.290332247641e+02 
       4.239057528985e-01       9.213541115303e+02 
       4.271353419704e-01       9.138869883919e+02 
       4.303649313135e-01       9.066252291336e+02 
       4.335945209216e-01       8.995593706323e+02 
       4.368241107888e-01       8.926784647206e+02 
       4.400537009094e-01       8.859690055753e+02 
       4.432832912780e-01       8.794117766604e+02 
       4.465128818889e-01       8.729868587403e+02 
       4.497424727371e-01       8.666718440424e+02 
       4.529720638175e-01       8.604472678208e+02 
       4.562016551250e-01       8.542972480417e+02 
       4.594312466548e-01       8.482107338017e+02 
       4.626608384024e-01       8.421848163582e+02 
       4.658904303632e-01       8.362166116608e+02 
       4.691200225327e-01       8.303115379129e+02 
       4.723496149066e-01       8.244734657656e+02 
       4.755792074808e-01       8.187054228083e+02 
       4.788088002512e-01       8.130147980475e+02 
       4.820383932138e-01       8.074084536538e+02 
       4.852679863648e-01       8.018937125477e+02 
       4.884975797005e-01       7.964775352404e+02 
       4.917271732171e-01       7.911648441561e+02 
       4.949567669112e-01       7.859596282094e+02 
       4.981863607793e-01       7.808592477257e+02 
       5.014159548180e-01       7.758580137826e+02 
       5.046455490240e-01       7.709475272813e+02 
       5.078751433941e-01       7.661205870507e+02 
       5.111047379252e-01       7.613703988252e+02 
       5.143343326143e-01       7.566891272733e+02 
       5.175639274583e-01       7.520730793925e+02 
       5.207935224545e-01       7.475155739241e+02 
       5.240231175999e-01       7.430129210985e+02 
       5.272527128918e-01       7.385609103042e+02 
       5.304823083276e-01       7.341568944887e+02 
       5.337119039046e-01       7.297991820635e+02 
       5.369414996202e-01       7.254897565983e+02 
       5.401710954721e-01       7.212310732359e+02 
       5.434006914576e-01       7.170258495415e+02 
       5.466302875745e-01       7.128764615229e+02 
       5.498598838205e-01       7.087836340419e+02 
       5.530894801932e-01       7.047476942828e+02 
       5.563190766905e-01       7.007672317194e+02 
       5.595486733101e-01       6.968413834721e+02 
       5.627782700501e-01       6.929699625495e+02 
       5.660078669082e-01       6.891517952264e+02 
       5.692374638826e-01       6.853869840221e+02 
       5.724670609711e-01       6.816741057698e+02 
       5.756966581720e-01       6.780099696491e+02 
       5.789262554833e-01       6.743918010014e+02 
       5.821558529031e-01       6.708171101662e+02 
       5.853854504297e-01       6.672830351825e+02 
