# Matter power spectrum P(k) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.368241107888e-01       8.964867511345e+02 
       4.400537009094e-01       8.897594987953e+02 
       4.432832912780e-01       8.831846099126e+02 
       4.465128818889e-01       8.767423202579e+02 
       4.497424727371e-01       8.704104264226e+02 
       4.529720638175e-01       8.641696488439e+02 
       4.562016551250e-01       8.580042593576e+02 
       4.594312466548e-01       8.519033070285e+02 
       4.626608384024e-01       8.458638905332e+02 
       4.658904303632e-01       8.398831362412e+02 
       4.691200225327e-01       8.339663686483e+02 
       4.723496149066e-01       8.281173727127e+02 
       4.755792074808e-01       8.223391032990e+02 
       4.788088002512e-01       8.166388164204e+02 
       4.820383932138e-01       8.110232458393e+02 
       4.852679863648e-01       8.054995677503e+02 
       4.884975797005e-01       8.000745980249e+02 
       4.917271732171e-01       7.947531405680e+02 
       4.949567669112e-01       7.895390789506e+02 
       4.981863607793e-01       7.844297554551e+02 
       5.014159548180e-01       7.794195099437e+02 
       5.046455490240e-01       7.745000207869e+02 
       5.078751433941e-01       7.696641530687e+02 
       5.111047379252e-01       7.649051731311e+02 
       5.143343326143e-01       7.602153270107e+02 
       5.175639274583e-01       7.555909462079e+02 
       5.207935224545e-01       7.510254246015e+02 
       5.240231175999e-01       7.465151029960e+02 
       5.272527128918e-01       7.420558104210e+02 
       5.304823083276e-01       7.376449176543e+02 
       5.337119039046e-01       7.332807410560e+02 
       5.369414996202e-01       7.289652077553e+02 
       5.401710954721e-01       7.247007062676e+02 
       5.434006914576e-01       7.204898817028e+02 
       5.466302875745e-01       7.163350452421e+02 
       5.498598838205e-01       7.122368811045e+02 
       5.530894801932e-01       7.081956817575e+02 
       5.563190766905e-01       7.042100316751e+02 
       5.595486733101e-01       7.002790582853e+02 
       5.627782700501e-01       6.964025510736e+02 
       5.660078669082e-01       6.925793295487e+02 
       5.692374638826e-01       6.888094666886e+02 
       5.724670609711e-01       6.850915404696e+02 
       5.756966581720e-01       6.814223952956e+02 
       5.789262554833e-01       6.777992844282e+02 
       5.821558529031e-01       6.742197419166e+02 
       5.853854504297e-01       6.706809407516e+02 
       5.886150480613e-01       6.671818416931e+02 
       5.918446457962e-01       6.637216389526e+02 
       5.950742436327e-01       6.602998395877e+02 
       5.983038415692e-01       6.569158053108e+02 
       6.015334396039e-01       6.535686783177e+02 
       6.047630377354e-01       6.502571185791e+02 
       6.079926359622e-01       6.469802858970e+02 
       6.112222342826e-01       6.437378365906e+02 
       6.144518326952e-01       6.405301854362e+02 
       6.176814311986e-01       6.373572295322e+02 
       6.209110297913e-01       6.342209607106e+02 
       6.241406284720e-01       6.311211032618e+02 
       6.273702272392e-01       6.280560472449e+02 
       6.305998260918e-01       6.250256973968e+02 
       6.338294250282e-01       6.220288275352e+02 
       6.370590240474e-01       6.190636274312e+02 
       6.402886231479e-01       6.161298207934e+02 
       6.435182223287e-01       6.132274159775e+02 
       6.467478215884e-01       6.103556697412e+02 
       6.499774209259e-01       6.075138919335e+02 
       6.532070203401e-01       6.047013588254e+02 
       6.564366198297e-01       6.019161877769e+02 
       6.596662193938e-01       5.991576858763e+02 
       6.628958190312e-01       5.964250743561e+02 
       6.661254187408e-01       5.937181109011e+02 
       6.693550185216e-01       5.910370657577e+02 
       6.725846183726e-01       5.883818493307e+02 
       6.758142182927e-01       5.857524564548e+02 
       6.790438182810e-01       5.831483500037e+02 
       6.822734183365e-01       5.805683313818e+02 
       6.855030184582e-01       5.780124710437e+02 
       6.887326186453e-01       5.754797747365e+02 
       6.919622188967e-01       5.729705777733e+02 
       6.951918192116e-01       5.704849774577e+02 
       6.984214195892e-01       5.680228695297e+02 
       7.016510200284e-01       5.655839738133e+02 
       7.048806205286e-01       5.631675321793e+02 
       7.081102210888e-01       5.607729417156e+02 
       7.113398217083e-01       5.583993296412e+02 
       7.145694223862e-01       5.560463906087e+02 
       7.177990231218e-01       5.537136910653e+02 
       7.210286239142e-01       5.514015700789e+02 
       7.242582247627e-01       5.491094884060e+02 
       7.274878256666e-01       5.468372573239e+02 
       7.307174266251e-01       5.445844128853e+02 
       7.339470276375e-01       5.423503451844e+02 
       7.371766287031e-01       5.401345493884e+02 
       7.404062298211e-01       5.379366996942e+02 
       7.436358309910e-01       5.357567341065e+02 
       7.468654322120e-01       5.335948008737e+02 
       7.500950334835e-01       5.314509018405e+02 
       7.533246348048e-01       5.293247576696e+02 
       7.565542361753e-01       5.272160015351e+02 
       8.263007815812e-01       4.854220459870e+02 
       9.270043399029e-01       4.351398525094e+02 
       1.086815841735e+00       3.719743117771e+02 
       1.340075489510e+00       2.978830189354e+02 
       1.684674537323e+00       2.272506957363e+02 
       2.120837542370e+00       1.669930426164e+02 
       2.669976132577e+00       1.181492109080e+02 
       3.361300802117e+00       8.068944739159e+01 
       4.231626996469e+00       5.345306030365e+01 
       5.327302759089e+00       3.453256927152e+01 
       6.706676819739e+00       2.186672204385e+01 
       8.443205877060e+00       1.363184366687e+01 
