# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  146       5.718505642140e-10       1.499073607182e-13      -6.147924741433e-12       9.305974944919e-16       3.577770444915e-12       6.521610748757e-13      -4.162851147489e-15 
  147       5.763523946766e-10       1.494950334313e-13      -6.164864247138e-12       9.443706934613e-16       3.508682518269e-12       6.426708101221e-13      -4.100540838474e-15 
  148       5.808332453003e-10       1.490204945686e-13      -6.178735996526e-12       9.582736691855e-16       3.441263785540e-12       6.333917846831e-13      -4.039022968684e-15 
  149       5.852919735232e-10       1.484846731723e-13      -6.189493509195e-12       9.723069140621e-16       3.375503500695e-12       6.243204059467e-13      -3.978235559209e-15 
  150       5.897273980145e-10       1.478885995070e-13      -6.197091760133e-12       9.864709069998e-16       3.311384662613e-12       6.154520971546e-13      -3.918109108969e-15 
  151       5.941382978803e-10       1.472334068288e-13      -6.201487220388e-12       1.000766113057e-15       3.248883869569e-12       6.067812750876e-13      -3.858566436218e-15 
  152       5.985234118685e-10       1.465203331552e-13      -6.202637897736e-12       1.015192983077e-15       3.187971173728e-12       5.983013277517e-13      -3.799522520064e-15 
  153       6.028814375741e-10       1.457507230341e-13      -6.200503377361e-12       1.029751953331e-15       3.128609935626e-12       5.900045920647e-13      -3.740884341975e-15 
  154       6.072110306444e-10       1.449260293135e-13      -6.195044862518e-12       1.044443445148e-15       3.070756678666e-12       5.818823315418e-13      -3.682550727290e-15 
  155       6.115108039842e-10       1.440478149105e-13      -6.186225215212e-12       1.059267864562e-15       3.014360943601e-12       5.739247139816e-13      -3.624412186731e-15 
  156       6.157793269611e-10       1.431177545814e-13      -6.174008996865e-12       1.074225601941e-15       2.959365143025e-12       5.661207891528e-13      -3.566350757916e-15 
  157       6.200151246105e-10       1.421376366903e-13      -6.158362508992e-12       1.089317031630e-15       2.905704415860e-12       5.584584664797e-13      -3.508239846868e-15 
  158       6.242166768410e-10       1.411093649793e-13      -6.139253833867e-12       1.104542511586e-15       2.853306481844e-12       5.509244927285e-13      -3.449944069525e-15 
  159       6.283824176394e-10       1.400349603373e-13      -6.116652875201e-12       1.119902383017e-15       2.802091496019e-12       5.435044296934e-13      -3.391319093253e-15 
  160       6.325107342764e-10       1.389165625699e-13      -6.090531398809e-12       1.135396970022e-15       2.751971903223e-12       5.361826318827e-13      -3.332211478358e-15 
  161       6.366000769515e-10       1.377563827721e-13      -6.060862908434e-12       1.151026542841e-15       2.702870388095e-12       5.289457044457e-13      -3.272496749224e-15 
  162       6.406493002965e-10       1.365565520013e-13      -6.027622175472e-12       1.166791204731e-15       2.654775814450e-12       5.217932674451e-13      -3.212197723934e-15 
  163       6.446573506938e-10       1.353192625411e-13      -5.990785745194e-12       1.182690994351e-15       2.607691977707e-12       5.147281052837e-13      -3.151376394669e-15 
  164       6.486231582680e-10       1.340468176248e-13      -5.950332137453e-12       1.198725920718e-15       2.561619892529e-12       5.077527658277e-13      -3.090096656494e-15 
  165       6.525456365991e-10       1.327416329768e-13      -5.906241886600e-12       1.214895962677e-15       2.516557730563e-12       5.008695541040e-13      -3.028424324757e-15 
  166       6.564236824361e-10       1.314062383547e-13      -5.858497581395e-12       1.231201068371e-15       2.472500758185e-12       4.940805259987e-13      -2.966427152491e-15 
  167       6.602561754099e-10       1.300432790923e-13      -5.807083904919e-12       1.247641154714e-15       2.429441274244e-12       4.873874819557e-13      -2.904174847811e-15 
  168       6.640419777469e-10       1.286555176407e-13      -5.751987674492e-12       1.264216106858e-15       2.387368547806e-12       4.807919606746e-13      -2.841739091320e-15 
  169       6.677799339826e-10       1.272458351112e-13      -5.693197881582e-12       1.280925777664e-15       2.346268755894e-12       4.742952328087e-13      -2.779193553505e-15 
