# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  133       5.117224726182e-10       1.487939275881e-13      -5.683975408676e-12       0.000000000000e+00       4.650724647528e-12       7.966500451230e-13      -5.048692948130e-15 
  134       5.163851255931e-10       1.492183269581e-13      -5.736245094966e-12       0.000000000000e+00       4.554127159285e-12       7.839969381292e-13      -4.976642121503e-15 
  135       5.210443764829e-10       1.495769269652e-13      -5.786191862482e-12       0.000000000000e+00       4.460190618685e-12       7.716132104973e-13      -4.905016426517e-15 
  136       5.256990598673e-10       1.498694470798e-13      -5.833751904649e-12       0.000000000000e+00       4.368861412405e-12       7.594985956297e-13      -4.833883149913e-15 
  137       5.303479427160e-10       1.500956812810e-13      -5.878862171385e-12       0.000000000000e+00       4.280072080979e-12       7.476514971609e-13      -4.763308039889e-15 
  138       5.349897228000e-10       1.502554997549e-13      -5.921460406403e-12       0.000000000000e+00       4.193740981330e-12       7.360689537750e-13      -4.693355227029e-15 
  139       5.396230271046e-10       1.503488505932e-13      -5.961485184504e-12       0.000000000000e+00       4.109771949299e-12       7.247466040234e-13      -4.624087145230e-15 
  140       5.442464102408e-10       1.503757614902e-13      -5.998875948876e-12       0.000000000000e+00       4.028053962178e-12       7.136786511424e-13      -4.555564452634e-15 
  141       5.488583528574e-10       1.503363414421e-13      -6.033573048387e-12       0.000000000000e+00       3.948460801240e-12       7.028578278709e-13      -4.487845952556e-15 
  142       5.534572600538e-10       1.502307824440e-13      -6.065517774884e-12       0.000000000000e+00       3.870850714267e-12       6.922753612679e-13      -4.420988514416e-15 
  143       5.580414597912e-10       1.500593611888e-13      -6.094652400486e-12       0.000000000000e+00       3.795066078085e-12       6.819209375302e-13      -4.355046994665e-15 
  144       5.626093385707e-10       1.498224534674e-13      -6.120920775510e-12       0.000000000000e+00       3.720966461712e-12       6.717849059223e-13      -4.290060338906e-15 
  145       5.671597668929e-10       1.495205753856e-13      -6.144270109930e-12       0.000000000000e+00       3.648532201934e-12       6.618652097224e-13      -4.226008510956e-15 
  146       5.716917129192e-10       1.491543494578e-13      -6.164649439258e-12       0.000000000000e+00       3.577770444915e-12       6.521610748757e-13      -4.162851147489e-15 
  147       5.762041081814e-10       1.487244940246e-13      -6.182009119853e-12       0.000000000000e+00       3.508682518269e-12       6.426708101221e-13      -4.100540838474e-15 
  148       5.806958467823e-10       1.482318250238e-13      -6.196300869435e-12       0.000000000000e+00       3.441263785540e-12       6.333917846831e-13      -4.039022968684e-15 
